 ;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Venablo de Babel;;p;1
Venablo de Babel;;p;2
Venablo de Babel;;p;3
Venablo de Babel;;p;4
Venablo de Babel;;p;5
Lanza colmillo;;p;1
Lanza colmillo;;p;2
Lanza colmillo;;p;3
Lanza colmillo;;p;4
Lanza colmillo;;p;5
Lanza de dracojinete;;p;1
Lanza de dracojinete;;p;2
Lanza de dracojinete;;p;3
Lanza de dracojinete;;p;4
Lanza de dracojinete;;p;5
Lanza de vanguardia;;p;1
Lanza de vanguardia;;p;2
Lanza de vanguardia;;p;3
Lanza de vanguardia;;p;4
Lanza de vanguardia;;p;5
Prominencia de plata;;p;1
Prominencia de plata;;p;2
Prominencia de plata;;p;3
Prominencia de plata;;p;4
Prominencia de plata;;p;5
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Lanza 7 estrellas;;p;1
Lanza 7 estrellas;;p;2
Lanza 7 estrellas;;p;3
Lanza 7 estrellas;;p;4
Lanza 7 estrellas;;p;5
Estoc;;p;1
Estoc;;p;2
Estoc;;p;3
Estoc;;p;4
Estoc;;p;5
